Level,Recommendations,
3,Consultation with other agencies and students in the formulation or revision of the research agenda is encouraged.,
3,"Honoraria, service credits or deloading may be done so that the faculty can do more research",
3,Faculty are encouraged to publish books or handbooks in their area of specialization.,
3,Periodic updates like the quarterly report may be done to monitor 'the status of the projects being implemented in the community.,
3,"Problems encountered, or feedbacks may be discussed with the",concerned group.
3,"It is suggested that a support staff be assigned to the college to perform the jobs which could hardly be done by the faculty, such as monitoring of the. projects especially in the far-flung barangays.",
