Level,Recommendations
2,"['the', 'library', 'manual', 'which', 'contains', 'the', 'collection', 'development', 'policy', 'has', 'to', 'undergo', 'a', 'process', 'it', 'is', 'suggested', 'that', 'the', 'members', 'of', 'the', 'library', 'board', 'committee', 'may', 'review', 'the', 'library', 'manual', 'so', 'this', 'can', 'be', 'presented', 'to', 'the', 'board', 'of', 'regents', 'for', 'approval']"
2,"['an', 'additional', 'computer', 'units', 'may', 'be', 'provided', 'at', 'the', 'reading', 'room', 'of', 'the', 'college', 'of', 'arts', 'and', 'sciences', 'for', 'internet', 'searching', 'services', 'so', 'users', 'would', 'be', 'able', 'to', 'access', 'free', 'online', 'joumals', 'with', 'fulltext', 'articles', 'including', 'electronic', 'books', 'in', 'english', 'language', 'and', 'literature']"
2,"['latest', 'editions', 'of', 'professional', 'books', 'in', 'english', 'language', 'have', 'to', 'be', 'updated', 'and', 'a', 'continuous', 'acquisition', 'and', 'updating', 'of', 'library', 'resources', 'such', 'as', 'filipiniana', 'materials', 'and', 'other', 'reference', 'books', 'might', 'also', 'be', 'acquired', 'ched', 'memo', 'no', 'series', 'of', 'states', 'that', 'for', 'library', 'holdings', 'five', 'book', 'titles', 'per', 'professional', 'subject', 'found', 'at', 'the', 'curriculum', 'at', 'a', 'ratio', 'of', 'one', 'student', 'per', 'fifteen', 'volumes', 'enrolled', 'in', 'the', 'program', 'be', 'considered']"
