Level,Recommendations
2,"['additional', 'way', 'finding', 'signs', 'outside', 'and', 'inside', 'the', 'buildings', 'must', 'be', 'provided', 'likewise', 'painting', 'of', 'pathways', 'to', 'match', 'the', 'existing', 'old', 'green', 'is', 'suggested']"
2,"['provide', 'appropriate', 'facilities', 'for', 'persons', 'with', 'disability', 'pwd']"
2,"['finishing', 'or', 'plastering', 'of', 'the', 'newly', 'constructed', 'wing', 'of', 'the', 'college', 'building', 'is', 'recommended']"
2,"['material', 'recovery', 'facility', 'may', 'be', 'required', 'to', 'operate', 'regularly']"
2,"['regularannual', 'pest', 'control', 'check', 'can', 'be', 'done', 'for', 'maintenance', 'of', 'buildings', 'offices', 'classrooms', 'and', 'other', 'important', 'facilitites']"
2,"['functional', 'drinking', 'facilities', 'can', 'be', 'installed', 'inside', 'the', 'college', 'and', 'indoor', 'facilities', 'for', 'athletics']"
2,"['college', 'canteen', 'can', 'be', 'improved', 'or', 'if', 'the', 'budget', 'warrants', 'construct', 'a', 'new', 'building', 'for', 'food', 'services', 'to', 'accomodate', 'more', 'students']"
2,"['comfort', 'rooms', 'should', 'be', 'maintained', 'properly']"
2,"['landscaping', 'of', 'the', 'open', 'space', 'and', 'roofing', 'of', 'the', 'stage', 'are', 'suggested', 'to', 'make', 'it', 'more', 'functional']"
2,"['dedicated', 'faculty', 'lounge', 'can', 'be', 'provided', 'aside', 'from', 'the', 'spaces', 'inside', 'faculty', 'rooms', 'for', 'the', 'faculty', 'to', 'relax', 'or', 'received', 'visitors']"
2,"['completion', 'of', 'the', 'powerhouse', 'is', 'suggested', 'to', 'provide', 'better', 'electrical', 'services', 'to', 'the', 'campus']"
