Level,Recommendations
1,"['provide', 'subject', 'bibliography', 'services', 'for', 'effective', 'research', 'work', 'among', 'students', 'faculty', 'and', 'other', 'clients']"
1,"['provide', 'other', 'statistical', 'data', 'to', 'present', 'the', 'utilization', 'of', 'the', 'library', 'resources', 'to', 'be', 'used', 'to', 'improve', 'the', 'library', 'collection', 'and', 'operation']"
1,"['it', 'is', 'suggested', 'that', 'the', 'installed', 'local', 'fire', 'alarm', 'be', 'made', 'functional', 'for', 'the', 'safety', 'of', 'the', 'library', 'and', 'its', 'resources']"
1,"['the', 'acquisition', 'of', 'the', 'modules', 'to', 'complete', 'the', 'library', 'system', 'to', 'maximize', 'the', 'utilization', 'of', 'resources', 'is', 'strongly', 'recommended']"
1,"['it', 'is', 'suggested', 'that', 'the', 'additional', 'lighting', 'facilities', 'be', 'acquired']"
1,"['it', 'is', 'recommended', 'that', 'the', 'furniture', 'and', 'the', 'interior', 'of', 'the', 'building', 'be', 'refurbished', 'in', 'terms', 'of', 'color']"
1,"['it', 'is', 'necessary', 'that', 'the', 'written', 'policies', 'and', 'procedural', 'manuals', 'need', 'be', 'improved', 'in', 'format', 'and', 'in', 'content']"
