Level,Recommendations
2,"['it', 'is', 'suggested', 'that', 'the', 'results', 'of', 'the', 'survey', 'on', 'the', 'problems', 'needs', 'priorities', 'and', 'resources', 'of', 'the', 'community', 'be', 'used', 'as', 'basis', 'in', 'defining', 'a', 'clear', 'extension', 'program', 'of', 'bs', 'in', 'tourism', 'management']"
2,"['a', 'monitoring', 'and', 'evaluating', 'system', 'of', 'extension', 'activitiesprojects', 'has', 'to', 'be', 'established']"
2,"['it', 'is', 'suggested', 'that', 'a', 'clear', 'research', 'framework', 'be', 'defined', 'as', 'the', 'bases', 'of', 'the', 'extension', 'objectives', 'of', 'the', 'program', 'under', 'study', 'this', 'will', 'contribute', 'to', 'the', 'realization', 'of', 'the', 'programs', 'objectives']"
