Level,Recommendations
3,building floor plan displayed post conspicuous place building
3,signage entry exit first floor second floor building make available visible
3,fire extinguisher mount accessible building firefighting equipment fire hose make available building college
3,pest control inspection periodically
3,trash bin available corridor classroom antilittering campaign implement maintain cleanliness classroom surroundings
3,pathway intend person disability pwd railing
3,student give responsibility maintenance beautification classroom
3,lounge faculty room make available
