Level,Recommendations
1,site planvicinity map near main gate campus instal
1,student restroom must give due attention priority college clean green projectsactivities
1,suggest come workable solution provision continuous sustainable clean safe free potable water student
1,suggest continue construction cover walk connect closely related building
1,building construct act prepare nice relocate chalk board classroom allow light ventilation
1,system devise institutionalize follow potability test drinking water b rest control infection c check electrical line
1,recommend segregation water must collection disposal
1,appropriate relevant support document term pictorial communication accomplishment reportsaction plan program listing duly sign provide
1,promoteadvertisemarket program attract enrollee thus close gap per caput physical resource expense ratio
1,room utilization guide post near entrance classroom
