Level,Recommendations,Unnamed: 2
3,consultation with other agencies and students in the formulation or revision of the research agenda is encouraged,
3,honoraria service credits or deloading may be done so that the faculty can do more research,
3,faculty are encouraged to publish books or handbooks in their area of specialization,
3,periodic updates like the quarterly report may be done to monitor the status of the projects being implemented in the community,
3,problems encountered or feedbacks may be discussed with the,concerned group.
3,it is suggested that a support staff be assigned to the college to perform the jobs which could hardly be done by the faculty such as monitoring of the projects especially in the farflung barangays,
