Level,Recommendations
2,strengthen the system of disseminating the vmgo
2,wider training and seminars on awareness and acceptability of the vmgo should be conducted
2,survey research results on the level of participation in the formulation review and revision of the vmgo could be quantified
2,evidence on job performance of faculty and staff may be presented
2,explore other avenues of disseminating the vmgo beyond memorizing this may include the level of understanding comprehension appreciation synthesis and evaluation
