Level,Recommendations
psv,college department prepare research agendaprogram line research agenda university base regional national priority
psv,research journal prepared college research result output publish
psv,university allocate fund conduct research activity student far encourage undergo thesis could possibly generate income school patent copyright
psv,research manuscript student write prescribed format state guide thesis could possibly generate income school form patent copyright
psv,proceeding make inhouse review conduct
psv,regular research staff hire college help manage office assist conduct different research make faculty member
psv,research office equip need equipment computer printer facilitate clerical job filing research output
