Level,Recommendations
2,administration encourage plan sustainable system exchange library publication heis line agency
2,administration want look commercialization research output
2,faculty member involve research since one function every educational institution
2,department encourage faculty undertake research wherein output utilized either institution development instructional process transfer generate technology community
2,faculty student capitalize university establish linkage collaboration stakeholder research activity
2,institution consider reduce load faculty member involve research
2,consider revise practicum syllabus include practicum project final requirement involve senior student research development activity
