Level,Recommendations
psv,involve group stakeholder formulation research agenda invite term planning inhouse review establish linkage resource share pother collaborative activity
psv,hire additional support personnel enhance research capability unit
psv,explore mean generate income research output
psv,revive publication college researchtechnical journal create committee handle activity allocate fund purpose
psv,upgrade laboratory facility intensified able conduct basic highend activity
psv,give due importance external linkaging recourse generation activity
