Level,Recommendations
3,documentation sustainable appropriate research process significant research undertaking carefully consider
3,research inhouse review prioritize order encourage everyone research
3,patent research output encourage monitor follow
3,strengthen linkage institution abroad regular exchange research publication professional intellectual work
3,chemical engineering research costly due different parameter analysis management consider increase budget program order sustain challenge produce quality research innovation
3,fabricate laboratory equipment methane gas agri waste pulp paper produce bioethanol technology output consider commercialization generate income university
3,publication research output refereed international indexed journal isi scopus take serious consideration would give benefit faculty promotion purpose quacquarelli symonds qs world university rank school
3,utilization research output extension community pursue department periodically monitor
