Level,Recommendations
1,department consider adapt barangay could appreciate fully continuously integrate plan objective promote tourism project site
1,impact assessment project come workable plan sustainability
1,package document systematically consider reckon date ie start completion project
1,wide dissemination impact tourism conduct
