Course,Area,Topic,In_Level_1,In_Level_2,In_Level_3,In_Level_4,Reoccurs,Topic_Length,Topic_Frequency,Appears_Multiple_Levels,Cosine_Score
Accountancy,Area5,"thrust, program, importance, agenda, research",0,0,0,0,0,5,1,0,0.017134395160580084
Accountancy,Area6,"encounter, discuss, group, concerned, feedback",0,0,0,0,0,5,1,0,0.0034353435683577857
Accountancy,Area6,"especially, college, barangays, monitoring, support",0,0,0,0,0,5,2,0,0.013399575821810327
Accountancy,Area6,"monitor, identify, project, problem, encounter",0,0,0,0,0,5,2,0,0.006937010261597382
Accountancy,Area6,"monitor, identify, project, problem, encounter",0,0,0,0,0,5,2,0,0.006937010261597382
Accountancy,Area6,"periodic, monitor, quarterly, identify, report",0,0,0,0,0,5,1,0,0.005139685244157797
Accountancy,Area6,"determine, study, contribution, service, program",0,0,0,0,0,5,1,0,0.018185579693230973
Accountancy,Area6,"faculty, provide, activity, program, college",0,0,1,0,0,5,1,0,0.047977886152514214
Accountancy,Area6,"incentive, need, base, extension, manual",0,0,1,0,0,5,1,0,0.016332154531314747
Accountancy,Area6,"publish, newsletter, year, training, extension",0,0,0,0,0,5,1,0,0.011918473921847916
Accountancy,Area6,"faculty, member, student, extension, research",0,0,1,0,0,5,1,0,0.05100978683554774
Accountancy,Area7,"classify, catalogue, material, center, reading",0,1,1,0,1,5,1,1,0.007850284761064684
Accountancy,Area7,"catalogue, material, thesesdissertations, nonprint, library",0,1,1,0,1,5,1,1,0.009484541256407464
Accountancy,Area7,"print, acquisition, information, file, update",0,1,0,0,0,5,1,0,0.009497791543879032
Accountancy,Area7,"development, budget, priority, program, library",0,0,0,0,0,5,1,0,0.025165287771606995
Accountancy,Area7,"conduct, actionapplied, improvement, universitychief, service",0,0,0,0,0,5,1,0,0.00992355203200706
Accountancy,Area7,"organization, necessary, facilitates, resource, generates",0,0,0,0,0,5,3,0,0.007235703878253801
Accountancy,Area7,"area, airconditioning, additional, unit, place",0,0,0,0,0,5,3,0,0.01298306631812644
Accountancy,Area7,"core, continuously, book, material, collection",0,1,1,0,0,5,3,1,0.013327085389605428
Accountancy,Area7,"concave, security, cctv, administration, monitoring",0,0,0,0,0,5,3,0,0.007553832630566728
Accountancy,Area7,"book, material, instal, library, consider",0,1,1,0,0,5,3,1,0.022661357836244057
Accountancy,Area8,"conspicuous, construct, post, certificate, newly",0,0,0,0,0,5,1,0,0.003171032459059533
Accountancy,Area8,"depict, preferably, plan, main, gate",0,0,0,0,0,5,1,0,0.0034824476118376583
Accountancy,Area8,"accreditation, look, classroom, decorate, make",0,1,1,0,1,5,1,1,0.008354485530239614
Accountancy,Area8,"priority, renewal, sanitary, permit, classroom",0,0,0,0,0,5,1,0,0.0044157950060410445
Accountancy,Area8,"rehabilitation, corridor, especially, wiring, student",0,0,0,0,0,5,1,0,0.00948842517300997
Accountancy,Area8,"available, pest, control, periodically, inspection",0,0,0,0,0,5,2,0,0.005660034219762362
Accountancy,Area8,"lounge, available, make, building, floor",0,1,1,0,0,5,2,1,0.009389661341176098
Accountancy,Area8,"pwd, railing, intend, disability, building",0,0,1,0,0,5,2,0,0.004440333483034901
Accountancy,Area8,"classroom, responsibility, beautification, maintenance, student",0,0,0,0,0,5,2,0,0.01142006456129926
Accountancy,Area8,"antilittering, surroundings, corridor, implement, classroom",0,0,0,0,0,5,2,0,0.004097618913491485
Accountancy,Area9,"improve, exit, consider, possibility, door",0,1,0,0,0,5,8,0,0.011850363578300726
Accountancy,Area9,"improve, exit, consider, possibility, door",0,1,0,0,0,5,8,0,0.011850363578300726
