Course,Area,Topic,In_Level_1,In_Level_2,In_Level_3,In_Level_4,Reoccurs,Topic_Length,Topic_Frequency,Appears_Multiple_Levels,Cosine_Score
Accountancy,Area6,"publish, newsletter, year, training, extension",0,0,0,0,0,5,1,0,0.0119184739218479
Accountancy,Area6,"faculty, member, student, extension, research",0,0,1,0,0,5,1,0,0.0510097868355477
Accountancy,Area7,"classify, catalogue, material, center, reading",0,1,1,0,1,5,1,1,0.0078502847610646
Accountancy,Area7,"catalogue, material, thesesdissertations, nonprint, library",0,1,1,0,1,5,1,1,0.0094845412564074
Accountancy,Area7,"print, acquisition, information, file, update",0,1,0,0,0,5,1,0,0.009497791543879
Accountancy,Area7,"development, budget, priority, program, library",0,0,0,0,0,5,1,0,0.0251652877716069
Accountancy,Area7,"conduct, actionapplied, improvement, universitychief, service",0,0,0,0,0,5,1,0,0.009923552032007
Accountancy,Area7,"organization, necessary, facilitates, resource, generates",0,0,0,0,0,5,3,0,0.0072357038782538
Accountancy,Area7,"area, airconditioning, additional, unit, place",0,0,0,0,0,5,3,0,0.0129830663181264
Accountancy,Area7,"core, continuously, book, material, collection",0,1,1,0,0,5,3,1,0.0133270853896054
Accountancy,Area7,"concave, security, cctv, administration, monitoring",0,0,0,0,0,5,3,0,0.0075538326305667
Accountancy,Area7,"book, material, instal, library, consider",0,1,1,0,0,5,3,1,0.022661357836244
Accountancy,Area8,"conspicuous, construct, post, certificate, newly",0,0,0,0,0,5,1,0,0.0031710324590595
Accountancy,Area8,"depict, preferably, plan, main, gate",0,0,0,0,0,5,1,0,0.0034824476118376
Accountancy,Area8,"accreditation, look, classroom, decorate, make",0,1,1,0,1,5,1,1,0.0083544855302396
Accountancy,Area8,"priority, renewal, sanitary, permit, classroom",0,0,0,0,0,5,1,0,0.004415795006041
Accountancy,Area8,"rehabilitation, corridor, especially, wiring, student",0,0,0,0,0,5,1,0,0.0094884251730099
Accountancy,Area8,"available, pest, control, periodically, inspection",0,0,0,0,0,5,2,0,0.0056600342197623
Accountancy,Area8,"lounge, available, make, building, floor",0,1,1,0,0,5,2,1,0.009389661341176
Accountancy,Area8,"pwd, railing, intend, disability, building",0,0,1,0,0,5,2,0,0.0044403334830349
Accountancy,Area8,"classroom, responsibility, beautification, maintenance, student",0,0,0,0,0,5,2,0,0.0114200645612992
Accountancy,Area8,"antilittering, surroundings, corridor, implement, classroom",0,0,0,0,0,5,2,0,0.0040976189134914
Accountancy,Area9,"improve, exit, consider, possibility, door",0,1,0,0,0,5,8,0,0.0118503635783007
Accountancy,Area9,"lecture, learn, additional, ohplcd, unit",0,0,0,0,0,5,2,0,0.009235530690908
Accountancy,Area9,"open, outward, propose, complete, building",0,0,1,0,0,5,1,0,0.005615673027417
