Level,Recommendations
1,the psychometrician is an important personnel of the university in order for her to function efficientlyeffectively an assistant may be assigned by the university
1,there is a need to constantly update existing manuals and other info materials as well as alumni checklist and directories this is necessarily in order to disseminate the latest information about the program and for easy retrieval or reference about the alumni
1,database on enrolment and monitoring and evaluation of student activities are put of the exhibit hence they are projects that should be pursued
1,the dean and members of the faculty could include major equipment needs of the program by including these items in the preparation and approval of their annual procurement program
1,the active involvement of the alumni should be tapped by the dean and the students the alumni could provide strong support in terms of funding and information base for the students
1,researches on the employability and demand analysis for graduates can be initiated by the combined efforts of students with the guidance and support of the dean and the members of the faculty
1,constant dialogues between the dean the faculty and the students may be initiated in order to foster and build up open lines of communication among them thereby identifying worthy projects and activities for the program and the college
