Level,Recommendations
1,the administration might want to own a community radio station that will be managed by the devcom department
1,additional instructional facilities and equipment may be purchased for students use
1,a comprehensive supervisory program may be prepared to include the fourfold functions of the academe viz instruction research extension and production
1,a tracer study of the graduates may be done annually to determine their employability
1,a participative and collaborative activity in generating resources and income may be done among administration faculty staff and students
