Level,Recommendations
psv,the college and the department should prepare their research agendaprogram in line with the research agenda of the university base on regional and national priority
psv,a research journal should be prepared for the college where research result or output can be publish
psv,the university should allocate fund for the conduct of research activity of student to far encourage them to undergo thesis which could possibly generate income for the school from the patent or copyright
psv,research manuscript of student should be write in the prescribed format as state in the guide for thesis which could possibly generate income for the school form the patent or copyright
psv,proceeding should be make after each inhouse review is conduct
psv,regular research staff should be hire for the college to help manage the office and assist in the conduct of the different research to be make by the faculty member
psv,the research office be equip with the need equipment such as the computer with printer to facilitate clerical job and filing of research output
