Level,Recommendations
2,strengthen the system of disseminate the vmgo
2,wider training and seminar on awareness and acceptability of the vmgo should be conduct
2,survey research result on the level of participation in the formulation review and revision of the vmgo could be quantify
2,evidence on job performance of faculty and staff may be present
2,explore other avenue of disseminate the vmgo beyond memorize this may include the level of understand comprehension appreciation synthesis and evaluation
