Level,Recommendations
2,there is a need to encourage all the faculty to get involve in the production of instructional material
2,a tracer study on the employability of graduate is worth conduct because this will serve as feedback mechanism in the enhancement and improvement of the curriculum
2,be a center of development it is highly recommend that book of recent edition in the field of ceramic engineering be purchase
